,text,label
65496," First , you should check the schedule and see which trains go to Suzhou . Make sure which train you want to take and book a ticket . ",0
5193, Yes . He was released from hospital yesterday evening . The other man could be there for weeks . ,0
76946,You're looking very well . ,0
44233," I know it is not the cheapest on the market . But if you take the quality factor into consideration , you will find your company will benefit in the long term . This device is built in with the most advanced technology . Every aspect has reached the international standard . It is a worthwhile investment . ",0
44492," It sounds good but , there is just one problem . I have a terrible credit score . ",0
79817,"What's the matter with my throat , doctor ? ",0
27613," If you want to cross here , be my guest . I don ’ t feel like dodging cars and scooters ! ",0
14928," No , thanks . I have some trouble with my heart , my doctor recommend I to drink less . ",0
54244," No . It probably means they have a large apartment.Probably a living room , kitchen and three bedrooms.They need someone for the empty bedroom . ",0
8575, I am a realist . ,0
26845, Don't be scared . Bite the bullet and everything will be right again . ,0
75624," We are not willing to miss the chance ; however , our staff is not big enough now . So , to be honest , I want you to help me to finish all these programs . ",0
75727, That'll be fine . ,0
21610, Not really . I just worked on my car all day . ,0
48511, S :: What size prints would you like ? ,0
38664, I'm figuring out my budget . ,0
28760," Yes , I ’ m in Titusville . The space shuttle is launched from near there . I ’ Ve seen a lot of space shuttle launches . ",0
32912, Money is no object . ,0
65145, I spent it on a bag of chips . ,0
56544, How big was it ? ,0
22198," Not so well . To be honest with you , I broke up with Tom . ",0
73550, Here ’ s an ad . about a big sale of washing machine . Do you want to see it ? ,0
52611," Come on . You just have it once in a while , not every day . It will not harm you . ",0
16276, don't be silly . You guys should spend as much time together as you can . Besides we can go to the beach anytime . ,0
41241, Does the rate include the cost of gas ? ,0
12743, Yeah . ,0
51740, Why don't you take a few days off ? ,0
57569," No , you'll have to get off at the bank , and take a No . 50 . ",0
54016,"Hi , Mike , where are you going ? ",0
22673, She sure knows how to strut her stuff . ,0
66186, I think I can work well under pressure . ,0
81557," oh , they are pancakes , hollowed sesame buns , scallions , cucumbers and oisin sauce . I will show you how to make one . ",0
38263," Yes , I see . We will cancel your order . ",0
55675," Here it is . Well , remember to have our cards on to tell every visitor where we come from . ",0
81182, Thank you . ,0
49242, Of course . ,0
36782, That's a deal . ,0
4665," Well , I can see that's a problem . ",0
49822, OK . Here's your ticket . ,0
59769, Are bananas on sale today ? ,0
21699, Sometimes we even spend hours discussing our collections . ,0
14397, Okay . Check you later . ,0
55541," No , not yet . I'd like to buy a teapot . ",0
57063,What is your temperature now ? ,0
33004, That's OK . Just let it out . I'm OK ! I was out of town with ... Femi . ,0
72245, Thank you . Do I have to pay in advance ? ,0
38089, I am sorry that I misheard you . ,0
81555," absolutely . It is said that they serve 3,000 ducks every day . ",0
75071," Come on . You know , you can never really win . The salesperson never loses . They make their living out of it . ",0
62267, My vote is my own private business . ,0
9402,"it's a lovely day , isn't it ? ",0
46551, I'm going to Nanchang . ,0
53595, No problem . Good night . ,0
61074," That will involve additional expenses for us , which we will have to pass on to you as a rate hike . ",0
71593,"Good morning , madam . Can I help you ? ",0
51266," Certainly , it's a pleasure . ",0
56559, No . These terms need to be amplified . ,0
44607, That will be $ 12.15 . ,0
71817, Do you like coffee ? ,0
62414," Yes , this little boat gets up a fine speed , and I think we'll soon get to the land . ",0
14907," Oh , yeah ? Which team ? ",0
34527,I need help preparing for my presentation on Friday . ,0
35763," No , I have not . ",0
68658," Well , we offer 5 grades as standard ",0
79343, I got it for parking in the red zone . ,0
30182, He is going to Canada and to live with his son . ,0
17452, So what am I allowed to check out ? ,0
22256, There will probably be a book list in the bookstore . Do you have your class schedule handy ? ,0
41152, I see . What's the interest like on those ? ,0
24163, It ’ s big and exciting but noisy . ,0
24087," Huh ? Oh , my name is Laura . ",0
56713," How do they train the dogs ? Well , I mean , it's a long process , right ... we get them when they're puppies ... and so we train them basic ... you know , sit , come ... really basic things ... then , after they're about two year old , they go a different training school . ",0
1933, Is it very cold in winter there ? ,0
75310," That was a wise decision , if I may say so . Our Personal Internet Banking Service offers online shopping transactions , payment of household bills online , account management ... ",0
24651, I'd love to help if I can . ,0
59359, Can you give me a quiet room ? ,0
5701," Yes . I ’ Ve always likes Indian and thai food , so I ’ Ve been trying to make dishes from those countries . I ’ m pretty good at making curries now , but I still need practice at making thai food . ",0
619, He ’ ll be a teenager before you know it ! Teenagers are often rebellious ! When do you mine it is a good age to have a child ? ,0
81848," So I've noticed . You are putting on a little weight , aren ’ t you ? ",0
60177, Why not ? China is a wonderful country . ,0
37425, Please fill in this form . How would you like it ? In 100 Euro cheques ? ,0
54507," Of course , here you are . ",0
80503, I hope it hasn't left without me . ,0
9145, We ’ re going fishing . ,0
50404," Yes , you are charged 50 cents a piece . ",0
73385, OK . Would you like to file them according to dates ? ,0
2953, The bride's parents ' seating arrangement is on the left side of the aisle and the groom's parents is on the right side . ,0
1537, I have confidence in them . ,0
75192, Thank you . I'm from America . Here is my business card . ,0
53155, I think I can figure this out . Let's see if this works as advertised . Say ' cheese ! ' ,0
55973, Great . Can you file in English ? ,0
81218, It's my pleasure . ,0
32842," We hit a couple of local bars , and met up with some friends . Everything was cool until Mike came along , and it turned out that it was his birthday yesterday ! ",0
52830, Please yourself . ,0
66900, What could be worse than what you just told me ? ,0
12153," But if the tea is good and well prepared , it will do much good . ",0
38123," Good morning , Miss Mandy . How are you today ? ",0
20534," This is a kind of socket mounted to your desk . The socket has all the wire connections of the company line and all the other office automation equipments , like fax , copier , a screen , printer and scanner , and it will be very convenient . ",0
61422,Can you make a suit for me to order ? ,0
45006," Yes , sir . May I have your laundry ticket , please ? ",0
59251, That's perfect . I will definitely do well . ,0
41516," Well , it depends . Do you want to send it via priority , express or standard mail ? ",0
37650, And do you have any questions ? ,0
79060, Yes . ,0
46473," You're right , sir . Your whole day is still ahead of you . ",0
84810," All right , then . Why don ’ t we say next Tuesday at 11:30 a . m . ? ",0
66555, And what's the number you are calling ? ,0
8780, That's right.But I don't think there are better ways . ,0
20247,A new film is on.Have you ever seen it ? ,0
60683, Leftovers . ,0
28500, I guess you are right . What do you think I should do ? He wasn ’ t always this grouchy you know ... ,0
37352," Of course , sir ... Here's the minutes of the meeting . ",0
48316, Do you feel better now ? ,0
16725, No . Actually I can stay longer . Dave called to say that there is a beautiful Chinese girl who ’ s going to pick me up at the school gate tonight at ten thirty instead of eight thirty . ,0
76455, I'm afraid it is still being washed . ,0
7366," Well , have you ever thought about learning some Chinese ? ",0
78994, That ’ s Joanna . Joanna hopes to go to college . ,0
9719," It ’ s expensive , too . Let ’ s just sit in the sun and go swimming instead . ",0
53024,Our dinner is ready . ,0
79498,Good morning . ,0
15266, She's a lot like me . ,0
62735," Let's meet on Friday to discuss your progress . Give me your e-mail address ... umm , I mean addresses ... We'll be in touch . ",0
83325," Honey , you know , we don't have enough room for a pet dog . ",0
21511," When you cross the quad , the office is right in front of you . Go inside and follow the signs to the correct line . ",0
50136, Yes . My wife and I are interested in renting a house for the summer . ,0
25342,"Daniel , you can't spit the gum everywhere . ",0
23763, is everything ready now ? ,0
7428, Don't be such a chicken ! Whoever loses has to treat everyone to a movie . ,0
13019," It's the mailman , Mother . Here's a letter from Uncle George . ",0
49326,"Hello , Is this room service ? ",0
79229, I think so . The bakery invited a famous baker from the USA . He is good at making cookies . ,0
57582," Yes , it ’ s creating mildew on the walls . ",0
5139,"Please excuse me , but I really have to be going . ",0
24093," Sometimes , usually once every few weeks . Do you ? ",0
70226," Yes , my name is Ms Jane Reeve , R-E-E-V-E . ",0
12830, Yes . Should we go there by bus so we aren't late ? ,0
43313," Yes , we'd have your regular dinner . What courses are there , please ? ",0
28937, I would never want to be a celebrity because the paparazzi would also be after you . ,0
81885, Here you go . ,0
44330, Okay . Did you get the Yahoo ID ? ,0
18744,Let's go for a drink after work . ,0
67878, do you prefer chinese food or Western food ? ,0
57069, You seem to have a cold . I'll give your an injection and let me write down your prescription . ,0
70194," Yes , I do . It save me a lot of time . I also have standing orders for my subscriptions to magazines . ",0
31607," They are the things that make up the atom , such as electrons and protons . ",0
13850, I couldn't agree with you . ,0
68149, I'd like a bottle of juice . ,0
85974,I'd like to help pitch in with dinner . ,0
58045, What's that ? ,0
45098," But we have only moderate mean at hand . If you can do us a special favor this time and allow us to delay payment , we'd really appreciate it . ",0
44732," I can ’ t afford too expensive , maybe $ 50 to $ 70 ? ",0
71954," We are suppliers of the summer clothes of various styles and colors . I think you will be interested in some of our new products . We always keep the pace of the clothes fashion , so as to catch the interest of our customers . ",0
57548," I'm quite outgoing , I think . ",0
35428, Why they hold a flour war ? ,0
39606, I mean to double the amount for your sales this year at least . ,0
9549, Ok . I ’ ll miss you . I hope we can see each other again soon . ,0
87040,Excuse me . Does this train go to Brooklyn ? ,0
8298,Did you lock the doors ? ,0
15639, Did you have to take a medical before you could take out the policy ? ,0
8096," sure , let ’ s just be friends . ",0
33487," I am . Whatsmore , his wife is 84 . ",0
58260, All right . Say cheese ! ,0
70710," Oh , no . You see I'm in the middle of something . Could he wait ? ",0
45492,Hello . Excuse me . Do you know if there's a Commercial Bank around here ? ,0
38548, How long does it take to get to the hotel ? ,0
53766, A medium is fine for me . ,0
42191, He said that he had a really bad cold . ,0
32566," Yes , so I had to wait three hours for the next one . I didn't get home till four in the morning , and when I got home I realized I'd left my house keys in my hotel in Bangkok . ",0
71571," Not until next week , I think , the 15th . ",0
30618, Uh-huh . How about you ? ,0
6201, But I hear that the card is free . ,0
47221, Which tooth is it ? ,0
57041," Cash , please . ",0
50900," This color is becoming to you , too . ",0
33704, That ’ s really unbearable . ,0
32495,Would you like to go skating with me this afternoon ? ,0
67303,Hello . Beijing Restaurant . How can I help you ? ,0
9268, Those are good answers . How did she react ? ,0
61442, There are another six stops . ,0
66673,What did you get for lunch today ? ,0
8534," I think it ’ s better for some things , like sending and receiving money , but if you need to post something it sometimes takes longer than it used to . ",0
40771," Of course , not.Let me check.Oh , you seem bo be correct . ",0
3905, Yes . ,0
63292,Would you like chicken or beef ? ,0
18475, Online chat ? Aren't you afraid of meeting bad people who pretend to be what they are not ? ,0
22317, I'll call you . ,0
64693,"Welcome to our factory . My name is Tiang Had and I'll show you around here.First we'll take a look at the workshop which produces food thermometers . Please , this way . ",0
60811," She'd say I have a lot of initiative , I see the big picture and I do what has to be done . Second , I always meet deadlines . If I say I'm going to do something , I do it . Lastly , I have the ability to focus on what I'm working on I am not easily distracted . ",0
59421," In a word , dressing and appearance are indeed important , but it should never be all . ",0
41773," Sure . We should probably pre-heat the oven right away , too . ",0
62127, we ’ ll have this finished in no time with two if us working on it . ,0
44881, From the 25th to the 28tri of September . ,0
15848," I know you are , you are my girlfriend . I wish I had a guy friend to hang out with sometimes . ",0
25250," Yes , that's right . And how about you ? ",0
78549,Which university did you graduate from ? ,0
37695, Yes . I could use a cup of coffee . ,0
60847, Dad ? ,0
80955, Who is Peckham ? ,0
33861, Yeah . It's beautiful . Is it white gold or silver ? ,0
73750," Not really . I did some research about Chinese table manners . The important rule is to remain silent while eating . Of course , this refers to family meals only . Not talking over meals is supposed to be good for the health . It is impolite if people do not talk to each other during a social party . The table arrangements and serving order for a social party are equally complicated . Each dish should be placed in the correct position . When fish is served , the tail should be pointing at the guest because tail meat is supposed to be tasty . If it is in winter , the stomach should face the right-hand side of the guest because that portion of the fish is very rich in winter . Each dish should be commenced by the eldest person who is seated at the head of the table . The diners should sit close to the table so food won ’ t drop on their cloths . No noise should be made when chewing . No one should move food back to the communal plate even if he doesn ’ t like it . One should drink soup slowly and is not supposed to make a lot of noise . All these table manners are very similar to Western habits . ",0
2053, What time are you leaving ? ,0
60973, What about these ? ,0
19778,"Honey , I ’ ll be right back ! ",0
47635," I suppose so . I tried my best to be familiar with all these appliances and office process . Certainly without my colleagues ' help , I could not do these things in such a short period . ",0
67346," Just a minute please , Mr . White . ",0
10813," Nothing ! Anyway , you ’ re right , there ’ s no reason this has to be nasty . My lawyer tells me you ’ Ve accepted our alimony proposal and the division of property , as well as the custody agreement-I keep the cat and you get the dog . So that ’ s done ... finally . ",0
3937, That ’ s everything . ,0
38060, Thank you . I'm glad that this hotel strives to keep its reputation intact . ,0
52212," No , thank you . I don't need any skirts . ",0
18151, She wants to be a manager . ,0
27623, We contact through email . ,0
30536,I have never you mention this friend . Are you on very good terms with him or her ? ,0
7652," Jordan is a legend , anyway . An idol that no one can replace . I think Clive can make a good professional basketball player . He is not just about muscles he also plays smart . ",0
82932, What are you being charged with ? ,0
15418," Yes , he is . ",0
66743," Oh , it's hard to narrow it down to just one . I mean , I like all kinds of sports , basketball , swimming , bike riding and so on . Maybe it is just the reason why I am so energetic and vigorous . ",0
136, The other class is on Monday and Wednesday from 10 am - 12 . ,0
20704,"Hey , Ray , what are you doing right now ? ",0
45672," Hello , Lucy . ",0
63351, Where ? ,0
62913, OK . Here you are . ,0
75743," No , I assure you . ",0
