,Unnamed: 0,texts,questions,answers,urls
5830,5830,"Sport
Economic impact
Services
Major Sports Events
Sport 
Over the years, sporting organisations and volunteers have formed the backbone of sport in Ireland. Building on this legacy enriches the lives of active participants and as well a country which values vibrant, local community identity and the achievements of our sporting heroes.
Sport and recreation also have other benefits for the nation, both economic in terms of sports tourism, employment opportunities through growth in the sector, and social in terms of better physical and mental health and wellbeing.
The period of Covid-19 restrictions resulted in significant fluctuations in physical activity. However, participation in sport continued to rise in 2022 and recover from the impact of Covid-19.",What is the role of sporting organisations and volunteers in Ireland?,"The sporting organisations and volunteers have formed the backbone of sport in Ireland, enriching the lives of active participants and contributing to the country's vibrant, local community identity. (source: text)",https://www.gov.ie/en/policy/6d07a6-sport/
256976,256976,"Welcoming the growth in users, Minister for Public Expenditure and Reform Michael McGrath TD said: 
“Delivering services online improves user access and user experience. Increasingly people look to transact business online and expect that their public services are accessible online at any time that they wish to access them. The Irish public service is working hard to meet these expectations and as a country we have an ambition to be at the forefront of delivering public services digitally. MyGovID provides people with a safe and secure ‘single sign in’ to their public serivces. It is designed to be convenient and accessible and the huge growth in users this year is a testament to the success of this cross-government project. 
“The range of services that can be accessed through MyGovID is expanding all the time and I would encourage everyone to look into the benefits of this system and register for an account.”",What benefits does MyGovID provide?,"MyGovID provides the benefits of convenience and accessibility. It allows people to access a range of services online, and the range of services is expanding all the time.",https://www.gov.ie/en/press-release/c73c8-3-millionth-person-registers-for-a-mygovid-account/
27362,27362,"eiLearn 
eiLearn is a digital learning platform run by Enterprise Ireland - the government organisation responsible for the development and growth of Irish businesses in world markets 
Employment Permits Online System 
An employment permit is needed if you want to work in Ireland as a non-EEA National. You must have a job offer from an Irish employer to be eligible. 
Employment Wage Subsidy Scheme (EWSS) 
An economy-wide enterprise support that focuses primarily on business eligibility 
Enterprise Ireland: Calendar of events 
Facility offering users access to Enterprise Ireland's calender of workshops and programmes 
EU funding programmes 
The EU has several different funding programmes that you may be able to apply for, depending on the nature of your business or project. 
File an Income Tax return 
Find an authorised legal metrology verifier 
Facility for users to find an authorised legal metrology verifier 
Funding Supports and Programmes from Enterprise Ireland",What is the Employment Wage Subsidy Scheme (EWSS) and who does it primarily focus on?,The Employment Wage Subsidy Scheme (EWSS) is an economy-wide enterprise support that primarily focuses on business eligibility.,https://www.gov.ie/en/services/?organisation=department-of-enterprise-trade-and-employment
215026,215026,"Prof Igor Shvets, Trinity College Dublin: Sensing the composition of a multi-component fluid flowing in a pipe for non-contact real-time analysis.
A wide variety of industries rely on fluids flowing through pipes. It is relatively straightforward to measure the amount of fluid passing through the pipe, however determining the makeup of that fluid is difficult. This project proposes a technology that can be placed on the pipeline to constantly monitor the composition of the fluid within. This technology has many potential applications including the detection of water content in crude oil, or fat content in cream.
Prof Helen Sheridan, Trinity College Dublin: Validation of the therapeutic potential of two lead anti-inflammatory molecules with a novel carbon scaffold in ex-vivo colonic explant tissue.",Which college is Prof Igor Shvets affiliated with?,Prof Igor Shvets is affiliated with Trinity College Dublin.,https://www.gov.ie/en/press-release/1d8229-35-million-investment-in-research-commercialisation-announced-by-min
205475,205475,"Minister of State Malcolm Noonan today announced that the National Parks and Wildlife Service (NPWS) is ready to move forward with the reintroduction of the Osprey to Ireland in summer 2023.
Osprey are a magnificent fish-eating bird of prey that became extinct in Ireland many years ago. The NPWS has been researching and preparing for the potential reintroduction of these birds for a number of years and now expects to reach a significant milestone with the arrival of the first 12 Osprey chicks in July. The reintroduction programme aims to establish a viable, free-ranging Osprey population that eventually breeds in Ireland.
Image: Osprey",What is the role of the National Parks and Wildlife Service (NPWS) in the reintroduction of Osprey?,The National Parks and Wildlife Service (NPWS) has been researching and preparing for the potential reintroduction of Osprey for a number of years. They are now ready to move forward with the reintroduction.,https://www.gov.ie/en/press-release/55804-return-flight-for-the-osprey-as-national-parks-and-wildlife-service-prepares-to-reintroduce-bird-to-ireland-this-summer/
132344,132344,"The decision to offer both Accredited Grades and examinations was to allow students to be treated as fairly and equitably as possible 
A key priority was ensuring that this year’s Leaving Certificate cohort was treated as fairly and equitably as possible, having regard to the adverse impact of COVID-19.
The decision to provide Accredited Grades and adjusted Leaving Certificate examinations aimed to achieve this objective to the greatest extent possible.
The decision to offer these parallel processes ensured a way for every student to progress to higher and further education, and the world of work. The SEC Accredited Grades process was designed to make accredited grades available to as many students as possible, including students who are studying one or more subjects outside of school and those studying entirely outside of school.",What was the purpose of offering parallel processes?,"The purpose of offering parallel processes was to ensure a way for every student to progress to higher and further education, and the world of work.",https://www.gov.ie/en/publication/e99c5-your-questions-answered/
27894,27894,"The Department has submitted its Data Protection Impact Assessment (DPIA) to the Data Protection Commission in respect of the full transfer of the Commission of Investigation material. The Department hopes to publish the relevant sections of the DPIA on its website shortly and to add other material that will be of interest to members of the public.
How to Access Your Personal Data 
If you would like to access your personal data which may be held in the records of the Mother and Baby Homes Commission of Investigation, we request that you fill out the Subject Access Request form and email it to the following address: sar@equality.gov.ie as this will help us to process your request more efficiently.",Where should the filled-out form be emailed?,The filled-out form should be emailed to sar@equality.gov.ie.,https://www.gov.ie/en/organisation-information/9230b-transfer-of-records-from-the-mother-and-baby-homes-commission-of-investigation/
88564,88564,"Following the Dáil’s approval the 2022 transfer of €2 billion (€1.5 billion plus €0.5 billion) to the NRF was made on 1 November 2022.
Subsequent to the Office of the Comptroller and Auditor General agreeing the necessary requisition for credit for €4 billion (€3.5 billion + €0.5 billion referred to above) to allow for the 2023 NRF transfer from the Exchequer’s Central Fund to the NRF.",What is the amount transferred to the NRF in 2022?,The amount transferred to the NRF in 2022 was €2 billion (€1.5 billion plus €0.5 billion).,https://www.gov.ie/en/press-release/ac49a-minister-mcgrath-announces-4-billion-transfer-to-the-national-reserve-fund/
153748,153748,"Treaty series 
From Irish Treaty Series 
Treaty type: Bilateral
Party: Kingdom of Thailand
Entered into force: 11 March 2015
Convention between the Government of Ireland and the Government of the Kingdom of Thailand for the Avoidance of Double Taxation and the Prevention of Fiscal Evasion with respect to Taxes on Income and Capital Gains, done at Bangkok on 4 November 2013.
Convention between the Government of Ireland and the Government of the Kingdom of Thailand for the Avoidance of Double Taxation and the Prevention of Fiscal Evasion with respect to Taxes on Income and Capital Gains, done at Bangkok on 4 November 2013.
Irish Treaty Series: No. 6 of 2015",What countries are involved in the treaty?,The countries involved in the treaty are Ireland and Thailand.,https://www.gov.ie/en/treaty-series/e605d-convention-between-the-government-of-ireland-and-the-government-of-the-kingdom-of-thailand-for-the-avoidance-of-double-taxation-and-the-prevention-of-fiscal-evasion-with-respect-to-taxes-on-income-and-capital-gains-done-at-bangkok-on-4-november-2013/
151003,151003,"Notes 
The Child Care Act 1991 is the primary piece of legislation regulating child care (alternative care) and child protection policy in Ireland. The 1991 Act is a wide-ranging piece of legislation, which, at its core, seeks to promote the welfare of children who may not be receiving adequate care and protection.
The Act covers the following main areas:
1. Promotion of the welfare of children through family support, child protection and welfare interventions;
2. Emergency measures when children are at immediate risk;
3. Taking children into care through:
a. agreement (voluntary care), and
4. Providing appropriate care for children in the care of Tusla, the Child and Family Agency, including issues such as access arrangements and aftercare support for care leavers, and regulations made under the Act in relation to foster care, residential care and placement with relatives.
5. Regulation of early years services in Part VIIA.",What are the main areas covered by the Act?,"The Act covers the following main areas: 1) Promotion of the welfare of children through family support, child protection and welfare interventions; 2) Emergency measures when children are at immediate risk; 3) Taking children into care through agreement (voluntary care); 4) Providing appropriate care for children in the care of Tusla, including access arrangements and aftercare support for care leavers; 5) Regulation of early years services in Part VIIA.",https://www.gov.ie/en/press-release/d9872-landmark-review-of-the-child-care-act-1991-receives-approval-to-be-drafted/
