,Unnamed: 0,question,true_answer,llama_7b_answer_x,llama_7b_human_answer,llama_7b_answer_y,llama_7b_human,llama_13b_answer,llama_13b_human_answer,msitra_7b_instruct_answer,mistra_7b_instruct_human_answer,answer,gpt3_turbo_instruct_human_answer,contexts
0,0,What did the Department announce regarding Thaumetopoea processionea in Ireland?,The Department announced a finding of Thaumetopoea processionea (Oak Processionary Moth) in Ireland.,"The article states that the Department of Agriculture, Food and the Marine (DAFM) has announced a finding of Thaumetopoea processionea, commonly known as the Oak Processionary Moth (OPM), in Ireland",Yes,"The article states that the Department of Agriculture, Food and the Marine (DAFM) has announced a finding of Thaumetopoea processionea, commonly known as the Oak Processionary Moth (OPM), in Ireland",Yes,"The Department of Agriculture, Food and the Marine have announced a finding of Thaumetopoea processionea (Oak Processionary Moth) in Ireland. Suspected sightings in Ireland should be treated with extreme ca",Yes,"The Department of Agriculture, Food and the Marine has announced a finding of Thaumetopoea processionea (Oak Processionary Moth) in Ireland. This means that there are now four Oak trees",Yes,"The Department of Agriculture, Food and the Marine in Ireland announced a finding of Thaumetopoea processionea, commonly known as the Oak Processionary Moth (OPM), in Ireland. They found the caterpillars on four Oak trees in a Dublin housing estate. The nests and four trees have been destroyed and the Department has commenced an investigation into this infestation. Surveying for this pest around the infected site has commenced and an intensive survey campaign using trapping methods and visual examinations of oak trees will continue over the coming weeks and months.",Yes,"['27/08/2023, 15:46 gov.ie - Appointment to the Scientific Committee of the Food Safety Authority of Ireland (FSAI) - 1 1 July 2023\nhttps://www .gov.ie/en/news/a5af5-appointment-to-the-scientific-committee-of-the-food-safety-authority-of-ireland-fsai/ 1/2News\nAppointment to the Scienti\x00c\nCommittee of the Food Safety\nAuthority of Ireland (FSAI) - 11 July\n2023\nFrom Department of Health (/en/organisation/department-of-health/)\xa0\nPublished on 11 July 2023\nLast updated on 11 July 2023\n\xa0\nThe Minister for Health Stephen Donnelly has following nomination by the Food Safety\nAuthority of Ireland, appointed Dr Lois O’Connor to the Scienti\x00c Committee of the\nFood Safety Authority of Ireland with effect from 9 May 2023 until 25 February 2026.\nDr Lois O’Connor\nDr Lois O’Connor is a Consultant in Public Health Medicine. She graduated from\nUniversity College Dublin in 1997 and has completed post-graduate higher specialist', '27/08/2023, 15:46 gov.ie - Appointment to the Scientific Committee of the Food Safety Authority of Ireland (FSAI) - 1 1 July 2023\nhttps://www .gov.ie/en/news/a5af5-appointment-to-the-scientific-committee-of-the-food-safety-authority-of-ireland-fsai/ 2/2BETA  This is a prototype - your feedback will help us to improve it.\nManage cookie preferences\nManage preferencesPart of\nPolicies\nHealth (/en/policy/c75aa0-health/)\nHelp us improve gov.ie Leave feedback\nDepartments and publications\nCirculars (/en/circulars/)\nConsultations (/en/consultations/)\nDirectory (/en/directory/)\nPolicies (/en/policies/)\nPublications (/en/publications/)\nAbout gov.ie\nAbout gov.ie (/en/help/about-govie/)\nAccessibility (/en/help/accessibility/)\nPrivacy policy (/en/help/privacy-policy/)\nWho does what (/en/help/e170a-who-does-what/)']"
1,1,What is the purpose of the announced college courses?,"The purpose of the announced college courses is to provide opportunities for people to upskill and reskill in areas of skills shortages, futureproof their career, and progress in or re-enter the workforce.","The purpose of the announced college courses is to provide opportunities for people to upskill and reskill in areas of skills shortages, futureproof their career, and progress in or re-enter the workforce.",Yes,"The purpose of the announced college courses is to provide opportunities for people to upskill and reskill in areas of skills shortages, futureproof their career, and progress in or re-enter the workforce.",Yes,"The purpose of the announced college courses is to provide opportunities for people to upskill and reskill in areas of skills shortages, futureproof their career, and progress in or re-enter the workforce.",Yes,"The announced college courses aim to provide opportunities for people to upskill and reskill in areas of skills shortages, futureproof their career, and progress in or re-enter the workforce. These courses are free or heavily subsidised",Yes,"The announced college courses provide free and heavily subsidised upskilling and reskilling higher education opportunities in areas of identified skills need. The courses are in areas that have been identified as of critical importance such as Cybersecurity, Virtual Reality, Health Innovation, Logistics and Online Retail. Programmes in Climate, Sustainability and Energy which are central to the Programme for Government are also being funded. The courses are free for the unemployed, previously self-employed and returners to the workforce. For others, 90 per cent of the course fee is funded by the government, with participants required to contribute just 10 per cent of the fee. The courses are designed to help equip the workforce to respond to the rapid changes in the world of work brought about by digitisation, and to provide the skills needed to help reach ambitious 2030 targets for energy efficiency and decarbonisation.",Yes,"['and its provision. The students can choose the courses they study and the level they take, and \nthey can decide themselves if they wish to gain accreditation or not. At the end of every course \ncompleted each teacher conducts a reflective survey which facilitates students to voice their opinions on what worked well for them in the lessons and what could be improved. The key points from the student surveys are displayed on posters around the school. The school is \ncommitted to acting on student recommendatio ns. In discussion with the inspectors and \nthrough the survey, the students reported a very high level of satisfaction with the school. It is highly commendable that the school has created ro les for students to provide opportunities for \nthem to take responsibility for aspects of school life.\n \n5.127   There are very good processes for identifying learning needs and designing a programme for', 'support to implementing this recommendat ion.  \nIPS HQ  \nRecommendation 15:  The schools included in this thematic inspection of education an d their respective prison management teams, with the assistance  of the \nCDETB, should work more closely together to further align the educational and training programmes with the needs of the student s and \nrequirements of prospective employers.']"
2,2,What was the purpose of the Southern regional Education and Research leaders meeting?,The purpose of the Southern regional Education and Research leaders meeting was to have a Regional Dialogue.,The scene setter by Minister Donohoe at the National Economic Dialogue (NED) 2023 talks about the importance of expenditure policy to support the delivery of better public services and infrastructure. The minister acknowled,No,The scene setter by Minister Donohoe at the National Economic Dialogue (NED) 2023 talks about the importance of expenditure policy to support the delivery of better public services and infrastructure. The minister acknowled,No,The purpose of the Southern regional Education and Research leaders meeting was to have a Regional Dialogue.,Yes,The purpose of the Southern regional Education and Research leaders meeting was to have a Regional Dialogue.,Yes,"The purpose of the Southern Regional Education and Research Leaders (SRERL) meeting was to discuss the macroeconomic context of the economy and society, and to inform government decisions on how to spend the country's money. The meeting discussed the four 'D's of Demographics, Decarbonisation, Digitalization and Deglobalization, and the importance of balancing the overall positive performance of the economy with the day to day needs of households and businesses.",Yes,"['27/08/2023, 21:18 gov.ie - Education and Research leaders from across Southern region meet at fourth meeting of the department’ s Regional …\nhttps://www .gov.ie/en/press-release/61ca0-education-and-research-leaders-from-across-southern-region-meet-at-fourth-meeting-of-the-departme … 3/7The dialogue and information sharing gained through these dialogues will also form the\nbasis for the development of a Tertiary Education Strategy provided for under the\nHigher Education Authority Act 2022.\nAbout the Regional Dialogue Initiative\nAs part of the response to feedback gathered in the Public Consultation, and based on\nthe premise of two-way high-level dialogue, the Regional Dialogue Initiative has been\ncreated by DFHERIS to enable regions to develop and progress actions to achieve policy\nobjectives of both DFHERIS and the wider government.\nThe dialogue will be between DFHERIS and regional HE, FET, and R&I sector leaders,', '27/08/2023, 21:18 gov.ie - Education and Research leaders from across Southern region meet at fourth meeting of the department’ s Regional …\nhttps://www .gov.ie/en/press-release/61ca0-education-and-research-leaders-from-across-southern-region-meet-at-fourth-meeting-of-the-departme … 7/7Manage cookie preferences\nManage preferences']"
3,3,What is the increase in the number of new homes commenced in May 2023 compared to the same month last year?,"The data show that there was an increase of 11.4% in the number of new homes commenced in May 2023 compared to the same month last year. The number of Commencement Notices for May 2023 was 3,059, while in the same month last year it was 2,746 units.",The government is considering increasing the number of healthcare and veterinary college places to address workforce shortages in the health and agriculture sectors. The government has identified a significant increase in capacity across these key disciplines through an inclusive and exp,No,The government is considering increasing the number of healthcare and veterinary college places to address workforce shortages in the health and agriculture sectors. The government has identified a significant increase in capacity across these key disciplines through an inclusive and exp,No,"Based on the given text, the answer to the question is:
 
 There was an increase of 11.4% in the number of new homes commenced in May 2023 compared to the same month last",Yes,"The report discusses two measures implemented by the government to address windfall gains in the energy sector. The first measure is a temporary solidarity contribution on fossil fuel production and rening, which applies to fossil fuel production and",No,This question is not answered in the given context.,No,"['2023. 15,561 homes have been commenced in the \x00rst six months of 2023. This is a 10%\nincrease on the same period last year and a record when compared to similar periods\nsince the data series began in 2015.\nThe full commencement data set can be accessed at: Construction Activity Statistics.\n(/en/publication/a5cb1-construction-activity-starts/)\nPart of\nPolicies\nHousing (/en/policy/aa076a-housing/)', 'homes commenced in the same month last year (2,438 units).\nThe strong uptick in commencements this year has continued and 18,546 homes have\nbeen commenced in the \x00rst seven months of 2023. This is an 11.8% increase on the\nsame period last year.\nThe full commencement data set can be accessed at: Construction Activity Statistics\n(/en/publication/a5cb1-construction-activity-starts/)\nENDS']"
4,4,How many homes have been commenced in Q2 2023?,"In Q2 2023, a total of 12,987 homes have been commenced.","132 local projects in Laois have received funding of €276,912 from the Community Support Fund in 2023.",No,"132 local projects in Laois have received funding of €276,912 from the Community Support Fund in 2023.",No,12987,Yes,"The Community Support Fund is a once-off fund provided by the Department of Rural and Community Development and administered by Local Community Development Committees, with support from the Local Authority, in each area. The funding is allocated under the",No,There is no mention of homes being commenced in Q2 2023 in the provided context.,No,"['Housing for All     |    Q2 2023 Progress Report 2 3\n   \n   \nIn the first five months of the year, almost 12,200  \nfirst time-buyers had mortgages approvedThe first half of 2023 has seen exceptional progress in the delivery of homes across the \ncountry and strong momentum building for the remainder of 2023 and beyond.     \nFollowing on from the completion of a record \nnumber of homes in quarter one - 6,716 - building \nstarted on almost 13,000 homes in the first five \nmonths of the year. A strong pipeline is developing, \nwith well over 11,000 homes granted planning \npermission in the first quarter of 2023, an almost \n40% increase on the same period last year. \nWe are seeing large numbers of our citizens \nachieving home ownership, supported by schemes \nsuch as Help to Buy and First Home. In the first five \nmonths of the year, almost 12,200 first time-buyers \nhad mortgages approved.The Government is working intensively to expand \nthe pipeline of affordable purchase and cost rental', ""ndc/newdwellingcompletionsq22023/) this morning.\nThe publication showed that 7,353 new homes were completed in Quarter 2 of this year.\nWhile this is a small decrease of 3.5% on the same three months of 2022, overall a\nrecord 14,017 homes have been completed in the \x00rst six months of 2023, a 5.8%\nincrease on the same period in 2022 and the highest number of completions recorded\nfor the \x00rst half of any year since the CSO data series began in 2011.\nThere were 4,017 scheme dwelling completions in Q2 2023, up 2% from Q2 2022, with\n1,439 single dwellings completed, up 7.2% from Q2 2022.\nMinister O'Brien said:\n“Today’s CSO \x00gures show supply is increasing and that we are going in the right\ndirection. Housing for All contains a projected housing output of 29,000 homes in\n2023, including 9,100 new build social homes and 5,500 affordable homes, and I\nam con\x00dent we will meet this target – if not exceed it.""]"
5,5,What is the purpose of the Transport Appraisal Framework (TAF)?,The purpose of the Transport Appraisal Framework (TAF) is to provide a prototype for the Transport Appraisal Framework and gather feedback to improve it.,The purpose of the Transport Appraisal Framework (TAF) is to provide a common framework for appraising transport investments in accordance with the Public Spending Code (PSC). The TAF replaces the Common Appraisal Framework,Yes,The purpose of the Transport Appraisal Framework (TAF) is to provide a common framework for appraising transport investments in accordance with the Public Spending Code (PSC). The TAF replaces the Common Appraisal Framework,Yes,The purpose of the Transport Appraisal Framework (TAF) is to provide a prototype for the Transport Appraisal Framework and gather feedback to improve it.,Yes,"The Transport Appraisal Framework (TAF) is a prototype that aims to promote investment in the transport system which meets the needs of society, fulfils strategic policy objectives, and delivers value for money. It provides apprais",Yes,"The Transport Appraisal Framework (TAF) provides appraisal and implementation guidance to promote investment in the transport system that meets the needs of society, fulfills strategic policy objectives, and delivers value for money, in accordance with the Public Spending Code (PSC). It is designed to help Sponsoring Agencies develop transport business cases for proposed public investment, by facilitating the delivery of transport investment proposals through rigorous and proportionate appraisals. The TAF replaces the Common Appraisal Framework (CAF) for Transport Projects and Programmes (published in 2016 and updated subsequently), and was formally announced in June 2023.",Yes,"['Based on the result of this assessment, you should receive necessary supports. The \nassessment should show if you need additional reception support s (such as a walk -in \nshower, wheelcha ir-accessible room, or to be accommodated close to certain services ) and \nto provide you with information on any services which may be helpful to you or your family .  \nVulnerability assessment questionnaires are available to all persons  who make an \napplication for International Protection in  their accommodation centres and on the IPAS \nwebsite.  \nMore information on VAs is available on line at:  \n gov.ie - Vulnerability Assessment Pilot Programme (www.gov.ie)  \nPlease note, th e vulnerability assessment process will not affect or expedite:  \n• International Protection applications or TRC renewals  \n• PPSN or social welfare applications  \n• Medical referrals or medical card applications  \n• School or college placements  \n• Transfer request s \n• Re-accommodation requests', 'Review of Senior Public Service Recruitment and Pay Determination Processes  \n \npg. 1                                                                 Chapter  1:  Introduction  \n \n1.1 Introduction  \nFollowing Government approval on Tuesday 29th March, 2022, the Minister for Public \nExpendi ture, N DP Delivery , and Reform  (the Minister) , Michael McGrath, T.D., established \nan Independent Review Panel to conduct a review of the current recruitment and pay \ndetermination processes in place for Senior Public Service posts, in particular arrangement s \nin the Civil Service. This review encompassed the current recruitment and pay \ndetermination processes for Senior Public Service posts, inclusive of Civil Service posts at \nAssistant Secretary and above and equivalents and other Senior Level Public Service  \npositions as set out in the Terms of Reference for the review (see Appendix B). \n \nA three member Panel was formed on the basis of a decision taken by Minister  Michael']"
6,6,What is the significance of William Conolly in relation to Castletown House?,"William Conolly, a scion of the rising Protestant Ascendency, is significant in relation to Castletown House as he acquired the lands and created what is regarded as a European masterpiece of Palladian architecture. He owned a vast amount of land and his power and wealth were at their height during his ownership of Castletown House.","William Conolly was a significant figure in relation to Castletown House as he acquired the lands and created what is regarded as a European masterpiece of Palladian architecture. As a member of the rising Protestant Ascendancy,",Yes,"William Conolly was a significant figure in relation to Castletown House as he acquired the lands and created what is regarded as a European masterpiece of Palladian architecture. As a member of the rising Protestant Ascendancy,",Yes,"William Conolly, a scion of the rising Protestant Ascendency, acquired the lands and created what is regarded as a European masterpiece of Palladian architecture at Castletown House. His power and wealth were",Yes,"William Conolly was a significant figure in relation to Castletown House as he acquired the lands and created what is considered a European masterpiece of Palladian architecture. During his ownership of Castletown House, his power and wealth",Yes,"William Conolly was the owner of Castletown House in the mid-1700s. He was a prominent Irish political figure and one of the wealthiest and most powerful people in the country. He was responsible for the house's transformation into one of the most lavish and grandest in Ireland, with its formal gardens and other features. The house has remained largely unchanged since Conolly's time, making it one of the most important historical residences in the country.",Yes,"['1____________\nAN BILLE RIALTAIS ÁITIÚIL (MÉARA LUIMNIGH), 2023\nLOCAL GOVERNMENT (MAYOR OF LIMERICK) BILL 2023\n____________\nEXPLANATORY MEMORANDUM\n____________\n  Background\nGiving legislative effect to commitments made in the Programme for \nGovernment - Our Shared Future  further to the outcome of the plebiscite \nin the administrative area of Limerick City and County Council, the Local \nGovernment (Mayor of Limerick) Bill 2023 paves the way for the local \nelectors in Limerick to vote for a directly elected Mayor who will have \nexecutive powers. The Bill transfers certain functions to the Mayor and \nsets up supporting structures within the local authority. The Bill also \nmakes provision for plebiscites in other local authorities that may wish to \nintroduce such an office.\nBill Overview\nThe Bill consists of 60 sections in 7 Parts together with 3 Schedules.\nParts 2  to 4 and Schedules 1  and 3 contain the provisions for', '1____________\nAN BILLE RIALTAIS ÁITIÚIL (MÉARA LUIMNIGH), 2023\nLOCAL GOVERNMENT (MAYOR OF LIMERICK) BILL 2023\n____________\nEXPLANATORY MEMORANDUM\n____________\n  Background\nGiving legislative effect to commitments made in the Programme for \nGovernment - Our Shared Future  further to the outcome of the plebiscite \nin the administrative area of Limerick City and County Council, the Local \nGovernment (Mayor of Limerick) Bill 2023 paves the way for the local \nelectors in Limerick to vote for a directly elected Mayor who will have \nexecutive powers. The Bill transfers certain functions to the Mayor and \nsets up supporting structures within the local authority. The Bill also \nmakes provision for plebiscites in other local authorities that may wish to \nintroduce such an office.\nBill Overview\nThe Bill consists of 60 sections in 7 Parts together with 3 Schedules.\nParts 2  to 4 and Schedules 1  and 3 contain the provisions for']"
7,7,What is the total number of healthcare and veterinary college places being considered by the government?,The total number of healthcare and veterinary college places being considered by the government is 196 for healthcare and 980 for veterinary.,"196 (healthcare) + 980 (veterinary) = 1,176 college places.",Yes,"196 (healthcare) + 980 (veterinary) = 1,176 college places.",Yes,"The total number of healthcare places being considered by the government is 208, and the total number of veterinary places is 980.",Yes,"The government has announced that they are considering increasing the number of healthcare and veterinary college places. Currently, there are 196 healthcare places and 980 veterinary places being considered by the government.",Yes,"The government is considering a total of 1,232 healthcare and veterinary college places. This includes 208 new or expanded places for medicine and 1,062 places for nursing.",Yes,"['to an effective recruitment and retention strategy: A short report. Aust J Rural \nHealth. 2021 Oct;29(5):789-793. doi: 10.1111/ajr.12795. Epub 2021 Oct 6. PMID: \n34612555. \nThe Pensions Commission (2021), Report of the Commission on Pensions\nThe Vincentian Partnership for Social Justice, (October 2021), Budget 2022 – MESL \nImpact Briefing\nWilson, L., (2020) Employment, dependent children and access to childcare \nduring the Covid-19 crisis, NERI Research InBrief No. 76.', ""42 Department of Tourism, \nCulture, Arts, Gaeltacht, \nSport and Media  National Sport Education and \nTraining Hub  2,474,400  \n43 Department of Tourism, \nCulture, Arts, Gaeltacht, \nSport and Media  Sports Measures for \nDisadvantaged Communities to \nSupport the National Physical \nActivity Plan (NPAP)  7,355,400  \n44 Department of Further and \nHigher Education, \nResearch and Innovation \nand Science  Traveller Apprenticeship \nIncentivisation Programme  450,000  \n45 Department of Health  Pilot rollout of the carer's needs \nassessment tool   31,694  \n46 Department of Health  National rollout of dementia \ntraining programme for HSE \nhome care staff   76,548  \nTotal      54,581,676""]"
8,8,How many places are being considered for the Dentistry program?,"For the Dentistry program, the government is considering 63 places at full roll out.",63 places at full roll out for the Dentistry program.,Yes,63 places at full roll out for the Dentistry program.,Yes,The government is considering 63 places for the Dentistry program at full roll out.,Yes,"The government is considering increasing the number of places for the Dentistry program. Currently, there are 63 places available at full roll out.",Yes,"None; the given information only covers healthcare and veterinary college places, and dentistry is not mentioned.",No,"['Solving the Dental Care Crisis. \nEven if all the 20 or so places accessed by  \nstudents who have been admitted from  \noverseas were given over to the CAO system it  \nwould have very little impact on the numbers in  \npractice, and any impact will be at least 6 years  \ndown the road (given that the very earliest this  \ncould happen is the 2023 intake, graduating in  \n2028) and, in reality probably nearer 2030.    \nWhat is clear is that, of the 200 dental graduates  \nannually, the two dental schools only provide a  \nfraction of the dentists who newly register with  \nthe dental council each year. We estimate we \nneed hundreds of extra dentists to meet the  \nneeds of rising population, changing work  \npatterns and to replace retiring dentists  from \nboth public and private sectors.  \nThe two dental schools in Dublin and Cork are  \nstruggling, due to completely inadequate  \nfunding, to cope with the numbers in training as  \nit is.There is no capacity to quickly, or signiﬁcantly,', 'Solving the Dental Care Crisis. \nIn recent times, dental nursing was added to the  \nlist of ineligible occupations for work permits  \nwhich means that non-EEA dental nurses can  \nno longer get a work permit to work in Ireland.  \nThis is in contrast to medical nurses who have  \nlong been named on the critical skills list for  \nnon-EEA visa applicants.  \nWe are calling for the decision to place dental  \nnursing on the ineligible occupation list, to be  \nurgently reversed in order to enable non-EEA  \ndental nurses to take up these vital roles within  \ndental practices. \n5: Tackling the crisis in our public  \ndental service  \nThe severe under-resourcing of the public  \ndental sector for well over a decade has led to a  \nsigniﬁcant deterioration in the level of service  \nprovided and particularly the extent to which  \npreventative care and screening is taking place  \nin schools, with the consequence that children  \nre seeing their dentist for the ﬁrst time at far too']"
9,9,"What is the purpose of the 11,000 free or heavily subsidised college courses?","The purpose of the 11,000 free or heavily subsidised college courses is to provide opportunities for the unemployed, self-employed, or returners to work to gain new skills and education.","The purpose of the 11,000 free or heavily subsidized college courses is to provide opportunities for the unemployed, self-employed, or returners to work and gain new skills and education.",Yes,"The purpose of the 11,000 free or heavily subsidized college courses is to provide opportunities for the unemployed, self-employed, or returners to work and gain new skills and education.",Yes,"The purpose of the 11,000 free or heavily subsidized college courses is to provide opportunities for the unemployed, self-employed, or returners to work to gain new skills and education",Yes,"The purpose of the 11,000 free or heavily subsidised college courses is to provide opportunities for the unemployed, self-employed, or returners to work to gain new skills and education.",Yes,"The 11,000 free or heavily subsidised college courses are intended to allow people to upskill and reskill in areas of skills shortages, futureproof their career, and progress in, or re-enter the workforce. The courses cover areas such as Cybersecurity, Virtual Reality, Health Innovation, Logistics, Online Retail, Climate, Sustainability, and Energy, and are designed to help meet the rapidly-evolving needs of the economy and the commitment to lifelong learning. For those who are unemployed, previously self-employed, or returning to the workforce, the courses are free. For others, 90% of the course fee is funded by the government, with participants required to contribute just 10% of the fee.",Yes,"['education and on to economic independence.  \nUnfortunately, the current levels of investment in the Community Education sector is \ninsufficient to deliver the quality services that are necessa ry to reach the most marginalised \nlearners. Just 1.8% of the SOLAS annual budget was allocated to supporting community \neducation provision in 2019[1. Community Education providers are at a critical point in their \nexistence due to the lack of core and consi stent funding[2].  While the community education \nfunding is channelled through SOLAS (via ETBs), IRL are aware that many providers do not \nreceive any funding through these channels.  As a result of this, they are also excluded from \nkey data gathering exerc ises and initiatives such as the National FET Learner Forum thereby \nnot providing an accurate reflection of what is happening in the sector.  \n                                                 \nSOLAS Annual Report, 2019', 'thereby  enhanc ing postgraduate research capacity in the technological university sector , and we \nstrongly recommend that it continue in 2023 and beyond .  We call for an inv estment of €3.2 million \n \n10 Review of the Allocation Model for Funding Higher Education Institutions: Final Report by the Independent Expert Panel \nfor the Higher Education Authority (2018) .  Available at https://hea.ie/funding -governance -performance/funding/funding -\nreview/   \n11 http://www.thea.ie/contentFiles/Impact_Study_Report_THEA_2020_Final_Sep_2020.pd f  \n12 See Section 28 (a) and (b) of the  Technological Universities Act 2018 . Available at \nhttps://www.irishstatutebook.ie/eli/2018/act/3/section/28/enacted/en/html#sec28']"
