text,label
im feeling so lousy they tried to cheer me up during school time and during choir practice,0
i feel highly disadvantaged,0
i feel humiliated to introduce you to my colleagues as my wife,0
i feel so worthless during those times i was struggling finding work,0
i still miss him and feel rather weepy today,0
i feel bad about that but this last years i started to realize no matter how many friends i have or know it doesnt matter im still a loner,0
i feel lonely so unbearably crushingly lonely you are not the only one a href http creativeliar,0
i feel extremely needy though i dont feel this way too often,0
i feel the depths of sorrow and suffering in love because i have felt its heights of joy and goodness,0
ive been waiting to get some time alone for quite a few weeks now and when i finally get it im feeling a bit homesick,0
i remember hating walking from the car to the my classroom feeling judged and ugly and jeered at with every step,0
i feel disturbed because of the world i saw through the camera s eyes,0
i break down a few times feeling like a lousy mom,0
i know ken has this down but im feeling really inadequate what am i doing wrong,0
i presented old work which made me feel guilty,0
im feeling a little stressed out with it all,0
i am left feeling rejected judged and deemed inadequate,0
i just want to say all the things i want to say without feeling embarrassed or making other people upset,0
when i was years old my father travelled very much for his work he passed three months away from home,0
i feel weepy already,0
i am still feeling some low energy and effects of stress,0
i feel troubled and also terrified your minute my partner and i view hundreds of white jackets and obtain caught from the surgeons evaluating area sterile and clean smelling and brimming with numerous devices,0
i feel low not coz of the situations distance or the person but its that one thing that hurts you and makes you feel responsible for what i have done to myself,0
i am feeling a little groggy this morning not to mention a headache,0
i have become too comfortable while at the same time feeling discontent because i have not been pursuing the thing the lord has set on my heart to pursue,0
i can whine and pour my heart out without feeling awkward,0
i a href http feeling groggy,0
i do not feel miserable at all because my family is not the type that celebrates eid,0
i really enjoyed feeling that i was not alone,0
i dun feel blamed,0
i feel at ease in those moments but the last few nights have been troubled,0
i know takes a lot of present moment awareness and part will be the challenge of accepting things as they are so i don t set up a feeling of wanting or discontent,0
i hope the two of you don t feel it was all in vain,0
i did however feel somewhat disheartened at the end of tonight,0
im quite sore today and physically just feeling exhausted and burnt out,0
i feel a little sentimental about because i distinctly remember as a child celebrating my parents th birthdays and they seemed so,0
i have gained lbs back and i feel terrible about it,0
i feel absolutely shitty,0
i say nothing then i my feelings are hurt i feel uncomfortable and direspected,0
