text,label
"This movie in away was super-clever. It's theme rhymes with every single horror movie ever made. Valentine makes ZERO attempt to be original. What is valentine anyway? It's a bunch of people giving each other the same lame messages that were given to the same people a year earlier. There is nothing original in Valentine. <br /><br />I only saw it once, and in that one viewing here are some of the films it ripped off. 1.Prom Night 2.Carrie 3.Scream 4.Any other horror movie in which somebody is killing somebody.<br /><br />I know there is more, but my mind was slowly turning into a puddle of silk so it couldn't grab them as fast as they came.<br /><br />Valentine had no chance of being a good movie. How come every horror movie has to have a ""suprise"" killer, people you don't care about because their emotions take a turn every other scene. One minute a nice girl turns into an evil B--ch, then she's an insecure woman, and so on and son on.<br /><br />Normally any horror movie (in my book) can be saved by gore, once again Valentine doesn't have this. It was as if they tried to make it PG-13 but failed, so they left the edit. <br /><br />Do not see this overly-inspired, rip-off unless you hate yourself, and you want to die.<br /><br />*1/2 (3) -J.Leonard Rollins-",0
"How low can someone sink while trying to recapture an old glory? ST:HF will be glad to show you.<br /><br />If you are used to seeing what made for a good Star Trek show, do NOT watch this.<br /><br />The writing is hodge-podge, the actors' portrayals of their characters weak, and most of all, the design work is downright doggy.<br /><br />Like watching strong captains, don't look here! Like the strong Federation attitude? Forget about it here! Starfleet is mocked by ensigns wearing SPIKES in their hair.<br /><br />While a seemingly mentally feeble captain shuffles about and within two minutes of the opening show's credits, Ensign Spikey is attempting to arrange a tryst with an engineer. It just degrades from there. No, not even uniforms match, for goodness sake. They are too small or too big, collars down to their chests, and TNG Seasons One and Two Uniforms mixed in with Season Three and DS9 uniforms. The strict discipline and tradition of any of the originals in lacking in this production down to the treads! The only good thing about this show is its graphics, which seem to improve a bit with each season. OK, I take that back. Who uses CG that inexpertly? The designers of this show.<br /><br />Don't bother with it, it will offend your Star Trek sense, as it did mine. Not even the throw backs to previous shows can save this catastrophe.<br /><br />I wept openly when i watched this, probably because my eyes were bleeding and my head almost ruptured. That bad.",0
"TV pilots, don't you love them? Quinn Martin tried this one out after being successful in a bunch of other TV detective movies, but this one goes nowhere except in the realm of MST where it belongs. Roy Thinnes is Diamond Head who takes orders from Aunt Mary to find super spy Lovejoy, I mean Tree. Zulu and Tso-Tsing are there for ethnic comic relief and not much else. Tree sucks as a bad guy despite all his disguises that makes him look exactly the same as he normally does. There's more unnatural clothing fiber here than you can ever imagine (required in the 1970's)and the show itself is so anti-climatic. Why did it not go to series? You figure it out, it's quite blatant. Again it's fun for MST, but not a lot else!!",0
"This movie doesn't have an awful lot to do with it's predecessor ""Robot Jox"". This must be also the reason why its most common name is ""Robot Wars"" and not the alternate name ""Robot Jox 2: Robot Wars"".<br /><br />""Robot Jox"" was basically a fun movie to watch because it had a nice premise of giant robots battling each other in the near future. This concept has been abandoned for this movie and instead it features a totally dull story that besides isn't very original or cleverly written. A shame it tried to be so much different from its predecessor really, for else this perhaps could had been a more fun movie to watch.<br /><br />Just like ""Robot Jox"" this is a B-movie but with as a big difference that it's just not a very good one. Perhaps this also has to with the fact that ""Robot Jox"" got made during the '80's, when B-movies still had a certain bit of charm and class over it, even though the movie got released in 1990. This really can't be said about this movie. It's just lame, badly made, poor looking and not exciting enough. It also has an ending which leaves you thinking 'This is it? That's all?'.<br /><br />What the movie its story is lacking is good clear main plot-line really. Perhaps a good main villain would had been a good idea and some other stuff such as an actual point to the story, some action, or likable main characters.<br /><br />Seriously what were they thinking when they picked the actors for this movie. All of them are simply not likable in their roles and especially Don Michael Paul is annoying as the main character, who behaves as if he's God's gift to woman and Mr. Perfect who can compete with anyone. Weren't they even simply able to get the actors from the first movie?<br /><br />For such a futuristic movie, with a concept of having large battle droids in it, this movie surely is lacking with its action. Had they put some more and bigger action into the movie, the movie would at least had been a more entertaining one to watch. Instead now we have a movie that fails to impress in basically every way imaginable.<br /><br />You can better watch a ""Mighty Morphin' Power Rangers"" episode, for some more action and likability.<br /><br />3/10",0
"Some of my old friends suggested me to watch this movie but I got chance only recently. I had high hopes of seeing something interesting from Kamal Hans, what I saw was bunch of garbage camera angles mixed at high speed. I could not understand what was the message except demeaning Hinduism. I am more like many religion type but I felt Kamal Hasan is a man low character to have orchestrated this kind of thought. He could have made a horror movie than this crap. He tried to add Hollywood genre of viruses and god forbid he did not convert that guy into a mutant and ultimately going to go for world domination. This is a much befitting movie for a film school vs regular public. Shame on him for not holding up to the talent he has. Starting of story tried Chaos to borrow ideas from Butterfly effect, then in between little religious harmony at the cost of insulting Hinduism (Once again I insult Hinduism more but this movie has no equal and my insult is same for religion in general which may have made this movie intellectual one.)",0
"[CONTAINS SPOILERS!!!]<br /><br /> Timon and Pumbaa are watching The Lion King. Timon decides to go back BEFORE the beginning, to when the story really began. So they go back. Way back. Back even before Simba was born. Back to Timon's old home which was miles away from Pride Rock. A clan of meerkats burrowed underground to hide from hyenas. The worst digger in the clan was a pompous, self-centered meerkat named Timon. His mother took pity on him but Uncle Max just shook his head. Mother suggested putting Timon on sentry duty; Timon had dreams of a bigger and better place out there somewhere. Just then, hyenas Shenzi, Bonzai and Ed arrived and nearly killed poor Uncle Max. That did it. The other meerkats just wanted Timon to go away while Timon took it upon himself to leave. So he kissed his mom goodbye and started off. He didn't get very far before he started getting homesick. Just then he met Rafiki, who taught him to look beyond what he sees. Timon had no clue what that meant so he continued on and met a warthog named Pumbaa, who was all alone due to a flatulence problem. Timon and Pumbaa join up then, but Timon declared them acquaintances, rather than friends.<br /><br /> They soon arrive at Pride Rock where all the zebras, antelopes, wildebeests, rhinoceroses, giraffe's, elephants and many other plain animals had gathered. What was going on? Timon didn't care. They pressed on. Timon then saw Rafiki atop Pride Rock lifting into the air something he couldn't see. Just then all the animals took a bow. Was this to honor the birth of the new king? No, Pumbaa had passed gas and the animals were bowing to cover their noses; Timon and Pumbaa try an assortment of new homes, but each are discomforting due to incessant singing or hyenas or a large stampede of wildebeests! Pumbaa and Timon suddenly find themselves heading down stream. When they reach land, Timon decides to give up. But then they gaze around at their newfound paradise. It was beautiful: trees and water falls as far as the eye could see. Timon named the place after a strange phrase he learned from Rafiki: Hakuna Matata. Timon and Pumbaa go out bowling for buzzards one afternoon when they suddenly run into Simba. They take him under their wing and become father figures. They teach him the arts of bug eating and belching contests. Pretty soon, a teenage Simba takes on Timon in a snail slurping contest. Simba won, leaving Timon deathly ill.<br /><br /> Then one day, Simba's childhood friend Nala arrived. Timon and Pumbaa just knew she'd break up the friendship. Suddenly, Simba runs away. Nala and Pumbaa race after him, but not Timon. He chose to stay at ""Hakuna Matata"" by himself, until Rafiki ""talked"" some sense into him, so he joins his friends at Pride Rock. Timon's mother and Uncle Max arrive then. While Simba battles Scar, Mother and Max dig a large hole to trap hyenas Shenzi, Bonzai and Ed in. It worked. Scar is soon flung down the same hole where he is devoured by the hyenas. Then all is well. Mother, Uncle Max and the rest of the meerkats go live with Timon and Pumbaa in the paradise that is Hakuna Matata. Back to the present, Timon and Pumbaa finish the movie when suddenly Mother, Uncle Max, Simba and Rafiki want to watch it again. So do Mickey Mouse, Donald Duck, Goofy, Snow White, the Seven Dwarfs, Dumbo, Peter Pan, the Lost Boys, Mad Hatter, March Hare, Genie, Aladdin, and Jasmine.<br /><br /> Well, I must say that The Lion King 1 1/2 wasn't as good as I had hoped. It was too ridiculous and silly. The original Lion King was a masterpiece. It had a serious story with light comedy thrown in. This one was just silly and made a mockery of it. I swear, sometimes Timon and Pumbaa are just way too overplayed. They're overplayed to the point of no longer being funny, just annoying. The original voice cast is back: Nathan Lane as Timon, Ernie Sabella as Pumbaa, Matthew Broddrick as Adult Simba, Whoopi Goldberg as Shenzi, Cheech Marin as Bonzai, Jim Cummings as Ed, Robert Guillame as Rafiki. New to the cast are Julie Kavner of TV's (Too) long running series The Simpsons as Timon's mom and Jerry Stiller as Uncle Max. So anyway, this movie isn't The Lion King III, and it isn't II because there already is a II. It takes place right after Part I and Part II is a ways away. Hence, it's 1 1/2. In conclusion, I don't recommend this to die hard Lion King fans because it's far too ridiculous and frivilous. However the kids will love it so I recommend it to them. I hope this will also be the LAST Lion King movie. Two is enough. ""The Lion King 1 1/2"". What we've come to expect from Disney sequel makers.<br /><br />-",0
"If I could give it a zero, I'd change my mind and give it a -10 instead. Absolutely horrible movie with no movie plot, doesn't make sense of what is happening. Just PLAIN BORING. Please don't waste your money on this one. Pleaseee!!! This movie could have done so well if it truly depicted the real zodiac killer's story, but nopes, I didn't feel anything but disgust while watching it. Do yourself a favor and rent some classic movies instead, its better to watch a movie you've already seen like 3-4 times than watch this crap! I don't understand why people even bother to make such movies when they know its not going to do well. Zodiac killer should be called 'Boriac killer' instead!!!",0
"My life is about saving animals. I do volunteer work with a cat rescue organization. I am a vegetarian because I couldn't kill an animal even to sustain my life. I can't even kill a spider, I put it outdoors. The scene where the children throw rocks at the bird until it dies, with Sooner participating in an attempt to be accepted by the other children, made me sick and has haunted me ever since. It simply convinces me that human beings are pathetic in their need for acceptance. The ending - the foster parents adopt Sooner - does not redeem the depiction of animal cruelty. Why would anyone want their child to see this film?",0
"""Trigger Man"" is definitely the most boring and silliest movie I've ever seen in my life. My aunt's holiday videos are more fascinating.<br /><br />The actors seem to be recruited at uglypeople.com. They do not have any talent to act in a convincing manner.<br /><br />They walk and walk and walk through the forest. There's more walking-around than in all three parts of ""The Lord of the Rings"" together. After the first hour, I began to read a Porsche brochure while watching ""Trigger Man"" along the way. Awful.<br /><br />A total waste of time and money. I'd give that movie 0 stars out of 10, since this is not possible, I have to give 1 star.",0
"It's remarkable and quite praiseworthy how writers and directors continue to make great movies out of one of the oldest and most (over)used story lines in cinema! ""Dog Bite Dog"" is basically not much more than just the simple story of an lone copper obsessively chasing a brilliant criminal, only Pou-Soi Cheang distinguishes his film from the rest by being extremely violent & relentless. This is unquestionably one of the grittiest and most uncompromising movies I've ever seen, with an atmosphere of constant nihilism and characters that seem to come walking straight out of hell! Not even the installments in Chan-Wook Park's trilogy of vengeance (with the exception of ""Oldboy"", perhaps) or any other infamous Cat-III film ever released were as sadistic and brutal as some of the events depicted in ""Dog Bite Dog"". Pang is a young and ruthless Cambodian assassin who lands in the crowded streets of Hong Kong to eliminate the wife of an eminent judge in a restaurant. When the police arrives at the place, young officer Wai sees how Pang hastily flees from the scene of the crime and follow him. The first actual confrontation between the two rabid dogs results in a gigantic blood bath, as Pang mercilessly kills several hostages and even Wai's long time friend and colleague. From then on begins a thrilling and action-packed cat and mouse game between the frustrated cop and the professional killer. The latter also saves a young girl from the constant sexual abuse of her father and stays with her at her shed in the local garbage dump. What makes this routine action/thriller so fascinating (apart from the explicit violence) are the main characters' backgrounds! Pang, the hit-man, is a Cambodian orphan and has been trained to fight & kill for money ever since he was a child. He knows no restrictions, has no mercy and barely speaks a word. Wai, the cop, became particularly ruthless and unorthodox ever since his role-model father (also a cop) lies in a coma after a drug-related incident. Lai doesn't question suspects and witnesses; he yells at them and he's prepared to sacrifice everything in order to stop his brand new nemesis. People with a weak stomach or tangled nerves are advised to stay away from this film, because the cruelty and shocks featuring in ""Dog Bite Dog"" can easily cause nausea. It's not the type of violence where bloodied heads and chopped off limbs fly through the air, but more like the intense and utterly disturbing type where people attempt to crush their opponents mentally as well as physically. The filming locations are effectively dark and eerie and the extremely sober music makes the already harrowing tone of the movie even more petrifying. The performances are terrific! I wouldn't be surprised if Edison Chen and Sam Lee treated each other like enemies on the film set as well, because their on screen hatred and disgust feels a little too legitimate. ""Dog Bite Dog"" is a powerful and unforgettable film, highly recommended if you can stomach it. If you fear you can't, just wait a few years for the inevitable American remake which will unquestionably soften the premise a little.",1
"This is the worst movie I've ever seen in my life. This is saying quite a bit, considering some of the choices I've made in film rentals.<br /><br />I got this on netflix based entirely on the fact that someone I went to high school with is topless in it. The topless scene lasted all of about 5 seconds and the rest of the movie was about as much fun as having pungee sticks driven underneath my toenails whilst being forced to listen to Roseanne sing Big Spender.<br /><br />The ""skits"" are stupid and consist of the worst kind of juvenile bathroom humor and locker-room gags, and it's such a blatant (and poor) rip-off of The Kentucky Fried Movie that you'll be begging for Big Jim Slade to crash through the wall and save us from the stupidity of ""Vince Offer"" (whoever that is).<br /><br />Unless you are a masochist, avoid this pile of rubbish.",0
"The only good thing about this unfunny dreck is that I didn't have to pay for it. I saw it for free at college. And if a college student can't find humor in something that was free, it's hopeless.<br /><br />Stale acting and poor jokes cannot be masked by an excellent, yet bewildering set design (that goes out of its way to market Volkswagon Beetles). I don't know what Michaels Myers was doing in this movie, but I have never seen anything more depressing. This was nothing more than a blatant effort to capitalize on the previous success of the Grinch (which has its opponents, but I enjoyed it very much). It's difficult not to sit through this failure and wonder what better projects were passed over to fund it.<br /><br />You want a funny Seuss adaptation? Go with the Grinch.",0
"At first look of the plot tagline I figured it could have been a decent film. Could I have ever been more wrong? The beginning of the film makes it look like a bunch of freaks got together and decided to make a low budget film. For the first 10 minutes you don't notice the cheesy acting, horrible sound and god-awful special effects, but then it gets worse. Just about 20 minutes into it I was asking myself, ""What was the plot again?"" I could only ask that question when I wasn't busted out laughing from the sheer lameness of this film. The main actor has one setting for emotions and he sticks to it throughout the entire film, even though he was supposed to go through love and hate and everything in-between. The flashback scene almost made me vomit because it made me re-live one extra minute of footage from earlier in the movie. Now we hit the middle of the film where they are obviously trying to rip off Morpheus from ""The Matrix,"" although he is doing just a horrible job. The actor's talking about ""Star Wars"" and fortune cookie phrases is almost unbearable. Now at the end of the movie you don't realize that it's the end of the movie because you actually think the plot is finally developing. The ""Morpheus"" character dies, the ONLY good thing about the movie. He utters a couple words and the credits roll. What is this? No plot, bad acting, cheesy everything, it couldn't get any worse. Please, if you value human decency, DO NOT WATCH THIS MOVIE!",0
