Unnamed: 0,text,label
7568,@USER_________  i think mine is nicotine. omg the sun is out as well that helps. #hottie day,1
649,@USER________ i didn't have side effects when i started taking cymbalta. after about 6 mths had to stop because it raised my blood pressure.,0
6137,always changing my mind. almost fucking constantly! i can't remember if paxil helped this shit or not....,1
14820,"I wanna' mess with Geralt, but he'd ki-... Wait does he have a gun? Only guns and Meridia can kill me!",1
1744,"@USER_____ @USER_____ he is from Fleetwood, Lancashire. Also the place where the Fisherman's Friends lozenge originated #fleetwoodfac....t",1
5447,Amanda Bynes needs Oprah or Zyprexa or both,1
16173,@USER______ Fistulas SUCK!!  I hope the meds closes it up. Humira is working on mine. Remicade worked for 6-7 yrs  #Crohns,1
10472,getting along with rob and that geodon sent me on a bit of a downward spiral. i was find until weber human gave me geodon. funny they notice,1
14761,i don't understand why i've been prescribed a ventolin cfc free inhaler.... but i wonder if i can use it at the gym when i get puffy,1
16225,can't breathe properly and i can't find my frrakin ventolin ..,1
9236,this chick said her box is scrumptious; if scrumptious is synonymous with a ricola lozenge she is on the money,1
1105,"as are (probably) the nausea, headache, sweats, flu symptoms &amp; diarrhea. but it's still better than being on it.  #venlafaxine #withdrawal",0
10416,#SAVOR-TIMI 53: saxagliptin did not reduce macrovascular events in #diabetics with CVD or multiple risk factors - D Bhatt #ESCcongress2013,1
7628,rt @USER_________: need more vyvanse for next week. who can hook it up,1
12253,@USER___________ @USER___ @USER_______ @USER_____ @USER I clearly should not have taken that extra gabapentin this morning.,1
13336,CNBC-TV18 ALERT: Amitiza Used In Treatment Of Constipation,1
6397,I don't know what's going on. I'm surrounded by preop Pradaxa issues today. That stuff is pure evil I tell you. #NoRegionalAnesForYou,1
14617,@USER_______ @USER______ my UPS driver only brings me Oxycodone lol,1
1579,Report: a fixed-dose regimen of dabigatran for ischemic stroke may be ineffective in pts with severe obesity.HTTPURL______________,1
8948,@USER_____ @USER____ -generic drugs as effective as amgen's enbrel for arthritis- @USER____ -: a blockbuster drug made b...  @USER_______,1
15275,@USER______ @USER__ didn't think it could happen but will be going off paxil &amp; strattera simultaneously. #humana is my doctor and god,1
14608,nuvaring you've done it again! #pregnancyfree,1
11503,januvia (sitagliptin) compared with sulfonylurea for patients with type 2 diabetes and mild renal impairment ...,1
3962,"@USER________ I am on divalproex, vimpat, & for chronic pain  to get it calmed down on lyrica (but the lyrica is being upped every 2 weeks)",1
8437,. @USER_________ somebodies been sunbathing while on cipro...lol,1
3874,Uuuuugggggg to day is #humira day darn it... #crohns,1
5035,@USER________ Sounds like fun!  Hope antib's work this time. Are you on Humira?,1
16228,I am astounded at the number of kids here in college dependant on Adderall right now just to study for exams. I cannot believe it right now.,1
11266,jared allen probably just wants to get adderall from pete carroll,1
16432,09:26am Ventolin - Halasan Bazar & Tara King th. - 8(Moon Glyph),1
15399,"i swear to god, i have a candle that smells just like fluticasone propionate nasal spray.",1
6579,@USER__________ When will the madness end?!?  PROZAC FOR EVERYONE!,1
5548,"RT @USER________ @USER__________: SAVOR Trial fails to meet primary EP, superiority of DPP-4 diabetes drug #Onglyza",1
17140,@USER__________ dished out buprenorphine like they were sweeties nd gave out needles like they were lollipops #pharmacist #addicts,1
4024,"14.11 day 17 Rivaroxaban diary. Still waiting for doctor to phone me ""around lunchtime"". Taken more paracetamol to dull the aches.",1
